wealth_state,income_state,var,variable,value
0.19,8.0,H_rent,var_l1,1.285827
0.19,8.0,Q,var_l1,0.190492
0.19,8.0,Y,var_l1,7.0
0.19,9.0,C,var_l1,0.848256
0.19,9.0,H_own,var_l1,0.0
0.19,9.0,H_rent,var_l1,1.445939
0.19,9.0,Q,var_l1,0.192104
0.19,9.0,Y,var_l1,8.0
0.19,10.0,C,var_l1,0.944811
0.19,10.0,H_own,var_l1,0.0
0.19,10.0,H_rent,var_l1,1.610122
0.19,10.0,Q,var_l1,0.19648
0.19,10.0,Y,var_l1,9.0
0.0,6.0,C,var_ss,0.562559
0.0,6.0,H_own,var_ss,0.0
0.0,6.0,H_rent,var_ss,0.959152
0.0,6.0,Q,var_ss,0.04028
0.0,6.0,Y,var_ss,6.0
0.0,7.0,C,var_ss,0.784349
0.0,7.0,H_own,var_ss,0.0
